country;year;sector;subsector;label;collective_dose_total;average_dose_monitored;average_dose_exposed;total_workers_number;D < RL;RL  < D < 1 mSv;1 mSv <= D < 5 mSv;5 mSv <= D < 10 mSv;10 mSv <= D < 15 mSv;15 mSv <= D < 20 mSv;20 mSv <= D
France;2010;ALL MONITORED WORKERS;;E (effective dose);103.588;0.300;1.080;350577;254919;65238;;;;38;8
France;2010;ALL MONITORED WORKERS;;Hp10n (external dose neutrons);1.520;0.040;;36073;;;;;;;
France;2010;MEDICAL FIELD;;E (effective dose);21.050;0.100;0.510;205195;164065;37304;;;;16;4
France;2010;MEDICAL FIELD;;Hp10n (external dose neutrons);0.030;0.010;;3299;;;;;;;
France;2010;MEDICAL FIELD;Diagnostic radiology;Hp10 (external dose photons);12.660;0.110;0.500;111501;86365;22745;;;;11;3
France;2010;MEDICAL FIELD;Radiotherapy;E (effective dose);2.950;0.260;0.920;11323;8119;2615;;;;1;1
France;2010;MEDICAL FIELD;Nuclear medicine;E (effective dose);1.010;0.330;0.840;3082;1873;872;;;;0;0
France;2010;MEDICAL FIELD;Dental radiology;Hp10 (external dose photons);2.100;0.050;0.380;42053;36567;5283;;;;2;0
France;2010;MEDICAL FIELD;Veterinary units;E (effective dose);0.670;0.040;0.290;17122;14804;2278;;;;0;0
France;2010;INDUSTRY;;E (effective dose);16.440;0.510;1.560;32276;21721;6927;;;;16;3
France;2010;INDUSTRY;;Hp10n (external dose neutrons);0.042;0.010;;6706;;;;;;;
France;2010;INDUSTRY;Industrial gauges;Hp10 (external dose photons);0.000;0.000;0.000;70;69;1;0;0;0;0;0
France;2010;INDUSTRY;Electron-beam welding;Hp10 (external dose photons);0.010;0.310;1.430;32;25;5;;;;0;0
France;2010;INDUSTRY;Radioisotopes production and conditioning;E (effective dose);0.050;0.140;0.730;345;276;58;;;;0;0
France;2010;INDUSTRY;Industrial logistics and maintenance = support activities;E (effective dose);0.070;0.260;0.340;270;65;196;;;0;0;0
France;2010;NUCLEAR FIELD;;E (effective dose);23.390;0.360;1.120;65353;44426;14755;;;;6;0
France;2010;NUCLEAR FIELD;;Hp10n (external dose neutrons);1.400;0.070;;20901;;;;;;;
France;2010;RESEARCH AND EDUCATION;;E (effective dose);0.490;0.210;0.320;2317;762;1501;;;0;0;0
France;2010;RESEARCH AND EDUCATION;;E (effective dose);0.340;0.140;0.380;2475;1569;872;;;;0;0
France;2010;RESEARCH AND EDUCATION;Uranium ore extraction/processing;E (effective dose);0.035;0.300;0.340;118;16;94;;;0;0;0
France;2010;RESEARCH AND EDUCATION;Enrichment and conversion;E (effective dose);0.250;0.290;0.830;861;558;214;;;0;0;0
France;2010;RESEARCH AND EDUCATION;Fuel fabrication;E (effective dose);1.640;0.860;2.020;1897;1085;440;;;;0;0
France;2010;RESEARCH AND EDUCATION;Nucl. power reactor (permanent staff only);E (effective dose);5.680;0.270;0.820;21036;14064;5035;;;;2;0
France;2010;RESEARCH AND EDUCATION;Reprocessing;E (effective dose);0.111;0.040;0.380;3163;2868;269;;;0;0;0
France;2010;RESEARCH AND EDUCATION;Dismantling of nuclear facilities;E (effective dose);0.240;0.110;0.800;2186;1886;232;;;;0;0
France;2010;RESEARCH AND EDUCATION;Nuclear logistics and maintenance = support activities;E (effective dose);6.230;0.790;1.600;7849;3959;2269;;;;0;0
France;2010;RESEARCH AND EDUCATION;Nuclear fuel cycle;E (effective dose);0.100;0.090;0.340;1118;826;280;;;0;0;0
France;2010;RESEARCH AND EDUCATION;;E (effective dose);0.560;0.040;0.370;14174;12652;1470;;;0;0;1
France;2010;RESEARCH AND EDUCATION;;Hp10n (external dose neutrons);0.016;0.000;;3624;;;;;;;
France;2010;RESEARCH AND EDUCATION;Medical, veterinary and pharm. Resarch;E (effective dose);0.009;0.080;0.250;111;76;35;0;0;0;0;0
France;2010;RESEARCH AND EDUCATION;Nuclear research facilities;E (effective dose);0.160;0.040;0.470;4448;4108;309;;;0;0;0
France;2010;RESEARCH AND EDUCATION;Other research sectors and education;E (effective dose);0.380;0.040;0.330;9615;8468;1126;;;0;0;1
France;2010;NATURAL SOURCES;;E (effective dose);41.188;2.060;2.080;19959;111;3279;16569;0;0;0;0
France;2010;NATURAL SOURCES;Aviation;E (effective dose);41.188;2.060;2.080;19959;111;3279;16569;0;0;0;0
Greece;2010;ALL MONITORED WORKERS;;E (effective dose);1.825;0.150;0.580;12458;9319;2715;376;37;7;3;1
Greece;2010;ALL MONITORED WORKERS;;Hp10 (external dose photons);6.736;0.540;2.150;12458;9319;2124;722;152;61;32;48
Greece;2010;ALL MONITORED WORKERS;;Hp10n (external dose neutrons);0.000;0.000;0.170;49;48;1;0;0;0;0;0
Greece;2010;ALL MONITORED WORKERS;;I (internal dose);0.000;0.000;;56;56;0;0;0;0;0;0
Greece;2010;MEDICAL FIELD;;E (effective dose);1.398;0.130;0.500;11072;8276;2492;269;27;5;2;1
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);6.309;0.570;2.260;11072;8276;1901;615;142;59;31;48
Greece;2010;MEDICAL FIELD;Diagnostic radiology;Hp10 (external dose photons);0.696;0.100;0.630;6979;5877;974;105;16;4;2;1
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);0.322;0.140;0.910;2299;1944;297;45;8;2;2;1
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);0.339;0.080;0.500;4266;3592;612;52;8;2;0;0
Greece;2010;MEDICAL FIELD;Interventional radiology;Hp10 (external dose photons);5.157;1.940;4.250;2657;1443;579;387;117;55;29;47
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);4.468;2.840;5.890;1571;812;313;224;98;50;27;47
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);0.486;0.620;1.460;786;454;200;113;15;3;1;0
Greece;2010;MEDICAL FIELD;;Hp10 (external dose photons);0.187;0.690;1.610;273;157;63;47;3;2;1;0
Greece;2010;MEDICAL FIELD;Radiotherapy;E (effective dose);0.025;0.050;0.570;512;468;40;4;0;0;0;0
Greece;2010;MEDICAL FIELD;Radiotherapy;Hp10 (external dose photons);0.025;0.050;0.570;512;468;40;4;0;0;0;0
Greece;2010;MEDICAL FIELD;Nuclear medicine;E (effective dose);0.429;0.490;0.990;879;447;305;118;9;0;0;0
Greece;2010;MEDICAL FIELD;Nuclear medicine;Hp10 (external dose photons);0.429;0.490;0.990;879;447;305;118;9;0;0;
Greece;2010;MEDICAL FIELD;Dental radiology;Hp10 (external dose photons);0.002;0.070;0.570;33;29;3;1;0;0;0;0
Greece;2010;MEDICAL FIELD;Veterinary units;E (effective dose);0.000;0.000;;12;12;0;0;0;0;0;0
Greece;2010;MEDICAL FIELD;Veterinary units;Hp10 (external dose photons);0.000;0.000;;12;12;0;0;0;0;0;0
Greece;2010;INDUSTRY;;E (effective dose);0.327;0.390;1.390;833;598;144;81;7;2;1;0
Greece;2010;INDUSTRY;;Hp10 (external dose photons);0.327;0.390;1.390;833;598;144;81;7;2;1;0
Greece;2010;INDUSTRY;Industrial radiography;Hp10 (external dose photons);0.213;0.810;2.150;262;163;40;51;5;2;1;0
Greece;2010;INDUSTRY;Radioisotopes production and conditioning;E (effective dose);0.003;0.290;0.660;9;5;3;1;0;0;0;0
Greece;2010;INDUSTRY;Radioisotopes production and conditioning;Hp10 (external dose photons);0.003;0.330;0.750;9;5;3;1;0;0;0;0
Greece;2010;INDUSTRY;Industrial irradiation;Hp10 (external dose photons);0.000;0.000;;15;15;0;0;0;0;0;0
Greece;2010;INDUSTRY;Industrial logistics and maintenance = support activities;E (effective dose);0.095;0.220;0.910;424;320;77;25;2;0;0;0
Greece;2010;INDUSTRY;Other industrial activities;Hp10 (external dose photons);0.017;0.140;0.600;123;95;24;4;0;0;0;0
Greece;2010;TRANSPORT;;E (effective dose);0.034;0.400;0.920;86;49;25;12;0;0;0;0
Greece;2010;TRANSPORT;;Hp10 (external dose photons);0.034;0.400;0.920;86;49;25;12;0;0;0;0
Greece;2010;RESEARCH AND EDUCATION;;E (effective dose);0.004;0.020;0.240;253;235;18;0;0;0;0;0
Greece;2010;RESEARCH AND EDUCATION;;Hp10 (external dose photons);0.004;0.020;0.220;253;235;18;0;0;0;0;0
Greece;2010;RESEARCH AND EDUCATION;;Hp10n (external dose neutrons);0.000;0.000;;44;44;0;0;0;0;0;0
Greece;2010;;Regulatory control activities;E (effective dose);0.001;0.030;0.350;32;29;3;0;0;0;0;0
Greece;2010;;Regulatory control activities;Hp10 (external dose photons);0.001;0.030;0.330;32;29;3;0;0;0;0;0
Switzerland;2010;ALL MONITORED WORKERS;;E (effective dose);6.035;0.080;0.820;78799;71434;5824;1363;169;3;4;2
Switzerland;2010;ALL MONITORED WORKERS;;Hp10 (external dose photons);6.031;0.080;0.820;78388;71036;5811;1363;169;3;4;2
Switzerland;2010;ALL MONITORED WORKERS;;Hp10n (external dose neutrons);0.006;0.000;0.750;5366;5358;6;2;;;;
Switzerland;2010;ALL MONITORED WORKERS;;I (internal dose);0.004;0.000;0.250;901;885;16;;;;;
Switzerland;2010;MEDICAL FIELD;;E (effective dose);1.268;0.020;0.530;60083;57690;2137;226;24;1;4;1
Switzerland;2010;MEDICAL FIELD;;Hp10 (external dose photons);1.268;0.020;0.530;60070;57677;2137;226;24;1;4;1
Switzerland;2010;MEDICAL FIELD;;I (internal dose);0.000;0.000;;45;45;;;;;;
Switzerland;2010;MEDICAL FIELD;Dental radiology;Hp10 (external dose photons);0.059;0.000;0.230;16306;16049;249;8;;;;
Switzerland;2010;MEDICAL FIELD;Veterinary units;Hp10 (external dose photons);0.003;0.000;0.030;2581;2480;97;4;;;;
Switzerland;2010;INDUSTRY;;E (effective dose);0.178;0.070;0.990;2518;2339;132;43;3;1;;
Switzerland;2010;INDUSTRY;;Hp10 (external dose photons);0.174;0.080;1.050;2179;2013;119;43;3;1;;
Switzerland;2010;INDUSTRY;;I (internal dose);0.003;0.010;0.230;447;434;13;;;;;
Switzerland;2010;NUCLEAR FIELD;;E (effective dose);3.991;0.750;1.390;5329;2453;1708;1028;138;1;;1
Switzerland;2010;NUCLEAR FIELD;;Hp10 (external dose photons);3.991;0.750;1.390;5329;2453;1708;1028;138;1;;1
Switzerland;2010;NUCLEAR FIELD;;Hp10n (external dose neutrons);0.003;0.050;0.750;66;62;3;1;;;;
Switzerland;2010;NUCLEAR FIELD;;I (internal dose);0.000;0.000;;1;;1;;;;;
Switzerland;2010;RESEARCH AND EDUCATION;;E (effective dose);0.595;0.060;0.310;10372;8467;1835;66;4;;;
Switzerland;2010;RESEARCH AND EDUCATION;;Hp10 (external dose photons);0.595;0.060;0.310;10311;8406;1835;66;4;;;
Switzerland;2010;RESEARCH AND EDUCATION;;Hp10n (external dose neutrons);0.003;0.000;0.750;5300;5296;3;1;;;;
Switzerland;2010;RESEARCH AND EDUCATION;;I (internal dose);0.000;0.000;0.000;408;406;2;;;;;
Switzerland;2010;OTHER FIELDS;;E (effective dose);0.003;0.010;0.250;497;485;12;;;;;
Switzerland;2010;OTHER FIELDS;Regulatory control activities;Hp10 (external dose photons);0.003;0.010;0.250;499;487;12;;;;;
Slovenia;2010;ALL MONITORED WORKERS;;E (effective dose);2.008;0.330;0.720;6020;3218;2203;539;43;15;2;0
Slovenia;2010;MEDICAL FIELD;;E (effective dose);0.390;0.110;0.310;3434;2180;1154;99;1;0;0;0
Slovenia;2010;;Diagnostic radiology;Hp10 (external dose photons);0.211;0.090;0.280;2411;1653;721;36;1;0;0;0
Slovenia;2010;;Interventional radiology;Hp10 (external dose photons);0.037;0.190;0.350;200;94;97;9;0;0;0;0
Slovenia;2010;;Radiotherapy;E (effective dose);0.009;0.050;0.070;183;59;123;1;0;0;0;0
Slovenia;2010;;Nuclear medicine;E (effective dose);0.103;0.600;0.880;171;54;69;48;0;0;0;0
Slovenia;2010;;Dental radiology;Hp10 (external dose photons);0.020;0.060;0.180;358;249;108;1;0;0;0;0
Slovenia;2010;;Veterinary units;E (effective dose);0.009;0.140;0.390;65;42;19;4;0;0;0;0
Slovenia;2010;;Other medical activities;E (effective dose);0.001;0.020;0.060;46;29;17;0;0;0;0;0
Slovenia;2010;INDUSTRY;;E (effective dose);0.042;0.090;0.400;457;352;95;9;1;0;0;0
Slovenia;2010;;Industrial radiography;Hp10 (external dose photons);0.029;0.200;0.660;145;101;35;8;1;0;0;0
Slovenia;2010;NUCLEAR FIELD;;E (effective dose);0.810;0.730;0.830;1105;132;696;266;11;0;0;0
Slovenia;2010;;Nucl. power reactor (permanent staff only);E (effective dose);0.181;0.440;0.540;412;78;274;59;1;0;0;0
Slovenia;2010;;Nuclear logistics and maintenance = support activities;E (effective dose);0.630;0.910;0.990;693;54;422;207;10;0;0;0
Slovenia;2010;RESEARCH AND EDUCATION;;E (effective dose);0.000;0.000;0.000;59;48;11;0;0;0;0;0
Slovenia;2010;;Nuclear research facilities;E (effective dose);0.000;0.000;0.000;59;48;11;0;0;0;0;0
Slovenia;2010;NATURAL SOURCES;;E (effective dose);0.744;2.440;2.510;305;8;90;160;30;15;2;0
Slovenia;2010;;Aviation;E (effective dose);0.148;1.000;1.030;148;4;44;100;0;0;0;0
Slovenia;2010;;Mining activities and processing;E (effective dose);0.004;0.570;0.570;7;0;6;1;0;0;0;0
Slovenia;2010;;Activities on site exposed with radon;E (effective dose);0.592;3.950;4.060;150;4;40;59;30;15;2;0
Slovenia;2010;OTHER FIELDS;;E (effective dose);0.021;0.030;0.130;660;498;157;5;0;0;0;0
Czech Republic;2010;ALL MONITORED WORKERS;;E (effective dose);13.583;0.690;1.780;19600;11962;4786;2166;440;162;64;20
Czech Republic;2010;ALL MONITORED WORKERS;;Hp10 (external dose photons);13.666;0.700;1.790;19600;11962;4786;2166;440;162;64;20
Czech Republic;2010;ALL MONITORED WORKERS;;Hp10n (external dose neutrons);0.238;;;;;;;;;;
Czech Republic;2010;ALL MONITORED WORKERS;;I (internal dose);0.037;;;;;;;;;;
Czech Republic;2010;MEDICAL FIELD;;E (effective dose);7.140;0.560;1.560;12835;8259;2956;1292;219;75;33;1
Czech Republic;2010;MEDICAL FIELD;;Hp10 (external dose photons);11.953;0.930;2.610;12835;8259;2956;1292;219;75;33;1
Czech Republic;2010;MEDICAL FIELD;;Hp10n (external dose neutrons);0.013;;;;;;;;;;
Czech Republic;2010;MEDICAL FIELD;;I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Diagnostic radiology;Hp10 (external dose photons);4.607;0.860;2.910;5385;3799;1057;412;71;30;16;0
Czech Republic;2010;;Interventional radiology;Hp10 (external dose photons);4.182;5.740;7.940;729;202;163;246;73;31;13;1
Czech Republic;2010;;Radiotherapy;E (effective dose);0.140;0.150;0.460;925;621;284;17;3;0;0;0
Czech Republic;2010;;Radiotherapy;Hp10 (external dose photons);0.190;0.210;0.620;925;621;284;17;3;0;0;0
Czech Republic;2010;;Radiotherapy;Hp10n (external dose neutrons);0.000;;;;;;;;;;
Czech Republic;2010;;Nuclear medicine;E (effective dose);0.739;0.720;1.080;1025;339;423;258;4;1;0;0
Czech Republic;2010;;Nuclear medicine;Hp10 (external dose photons);0.623;0.610;0.910;1025;339;423;258;4;1;0;0
Czech Republic;2010;;Nuclear medicine;I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Dental radiology;Hp10 (external dose photons);0.002;0.050;0.850;37;35;2;0;0;0;0;0
Czech Republic;2010;;Veterinary units;E (effective dose);0.016;0.180;0.440;89;53;33;3;0;0;0;0
Czech Republic;2010;;Veterinary units;Hp10 (external dose photons);0.011;0.120;0.290;89;53;33;3;0;0;0;0
Czech Republic;2010;;Other medical activities;E (effective dose);1.868;0.400;1.300;4645;3210;994;356;68;13;4;0
Czech Republic;2010;;Other medical activities;Hp10 (external dose photons);2.338;0.500;1.630;4645;3210;994;356;68;13;4;0
